的	[白勹丶Ⓨ,rqyy,de_dí_dì]
余	[人禾Ⓤ,wtu,yú]
夫	[二人Ⓘ,fwi,fū_fú]
排	[扌三〢三,rdjd,pái_pǎi]
费	[弓〢贝Ⓤ,xjmu,fèi]
源	[氵厂白小,idri,yuán]
觉	[⺍冖冂儿,ipmq,jué_jiào]
范	[艹氵㔾Ⓑ,aibb,fàn]
左	[𠂇工Ⓕ,daf,zuǒ]
够	[勹口夕夕,qkqq,gòu]
差	[丷龵工Ⓕ,udaf,chà_chā_chāi_cī]
城	[土厂𠃌丿,fdnt,chéng]
春	[三人曰Ⓕ,dwjf,chūn]
食	[人丶彐𧘇,wyve,shí_sì_yì]
兵	[斤一八Ⓤ,rgwu,bīng]
施	[方𠂉也Ⓝ,ytbn,shī]
富	[宀一口田,pgkl,fù]
均	[土勹冫Ⓖ,fqug,jūn]
置	[罒十具Ⓕ,lfhf,zhì]
减	[冫厂一丿,udgt,jiǎn]
故	[古攵Ⓨ,dty,gù]
虽	[口虫Ⓤ,kju,suī]
曾	[丷罒曰Ⓕ,uljf,zēng_céng]
占	[⺊口Ⓕ,hkf,zhān_zhàn]
送	[丷大辶Ⓘ,udpi,sòng]
笑	[⺮㇒大Ⓤ,ttdu,xiào]
试	[讠戈工Ⓖ,yaag,shì]
职	[耳口八Ⓨ,bkwy,zhí]
氧	[𠂉⺄丷羊,rnud,yǎng]
阳	[阝日Ⓖ,bjg,yáng]
汉	[氵又Ⓨ,icy,hàn_nǜ]
留	[氏丶刀田,qyvl,liú]
跟	[口止彐𧘇,khve,gēn]
修	[亻丨夂彡,whte,xiū]
巴	[巴㇆丨乚,cnhn,bā]
创	[人㔾刂Ⓗ,wbjh,chuàng_chuāng]
助	[冃㇒力Ⓝ,egln,zhù_chú]
未	[二小Ⓘ,fii,wèi]
犯	[犭㇒㔾Ⓝ,qtbn,fàn]
初	[衤刀Ⓝ,puvn,chū]
功	[工力Ⓝ,aln,gōng]
抗	[扌亠几Ⓝ,rymn,kàng]
田	[田田田田,llll,tián]
坏	[土一个Ⓨ,fgiy,huài_pēi_pī_péi]
降	[阝夂ヰ丨,btah,jiàng_xiáng]
古	[古一丨一,dghg,gǔ]
尽	[尸㇏⺀Ⓤ,nyuu,jìn_jǐn]
互	[一彑一Ⓓ,gxgd,hù]
财	[贝十丿Ⓣ,mftt,cái]
溶	[氵宀八口,ipwk,róng]
病	[疒一冂人,ugmw,bìng]
叶	[口十Ⓗ,kfh,yè_xié]
投	[扌几又Ⓨ,rmcy,tóu]
策	[⺮一冂小,tgmi,cè]
责	[龶贝Ⓤ,gmu,zé_zhài]
波	[氵皮又Ⓨ,ihcy,bō]
令	[人丶マⓊ,wycu,líng_lǐng_lìng]
独	[犭㇒虫Ⓨ,qtjy,dú]
考	[土丿一㇉,ftgn,kǎo]
右	[𠂇口Ⓕ,dkf,yòu]
请	[讠龶冃Ⓖ,ygeg,qǐng]
球	[王十氺丶,gfiy,qiú]
让	[讠上Ⓖ,yhg,ràng]
副	[一口田刂,gklj,fù_pì]
双	[又又Ⓨ,ccy,shuāng]
检	[木人一兴,swgi,jiǎn]
宜	[宀冃一Ⓕ,pegf,yí]
杂	[九木Ⓤ,vsu,zá_duǒ]
钱	[钅戋Ⓣ,qgt,qián]
述	[木丶辶Ⓘ,sypi,shù]
限	[阝彐𧘇Ⓨ,bvey,xiàn]
简	[⺮门日Ⓕ,tujf,jiǎn]
找	[扌戈Ⓣ,rat,zhǎo]
冲	[冫口丨Ⓗ,ukhh,chōng_chòng]
端	[立山丆Ⓙ,umdj,duān]
输	[车人一刂,lwgj,shū]
倒	[亻一厶刂,wgcj,dǎo_dào]
养	[丷龵㇏Ⓙ,udyj,yǎng]
敌	[㇒古攵Ⓨ,tdty,dí_huá]
阿	[阝丁口Ⓖ,bskg,ā_ē]
超	[土龰刀口,fhvk,chāo]
换	[扌⺈冂大,rqmd,huàn]
州	[丶丿丶丨,ytyh,zhōu]
胜	[月㇒𤯓Ⓖ,etgg,shèng_qìng_shēng_xīng]
帝	[六冖冂丨,upmh,dì]
依	[亻亠𧘇Ⓨ,wyey,yī]
坐	[人人土Ⓕ,wwff,zuò]
纪	[纟己Ⓝ,xnn,jì_jǐ]
突	[宀八犬Ⓤ,pwdu,tū_tú]
念	[人丶㇇心,wynn,niàn]
客	[宀夂口Ⓕ,ptkf,kè]
绝	[纟⺈巴Ⓝ,xqcn,jué]
升	[㇒廾Ⓚ,tak,shēng]
陈	[阝七小Ⓨ,baiy,chén]
略	[田夂口Ⓖ,ltkg,lüè]
益	[丷八皿Ⓕ,uwlf,yì]
否	[一个口Ⓕ,gikf,fǒu_pǐ]
罗	[罒夕Ⓤ,lqu,luó_luō]
仍	[亻乃Ⓝ,wen,réng]
吸	[口乃㇏Ⓨ,keyy,xī]
苦	[艹古Ⓕ,adf,kǔ]
错	[钅龷日Ⓖ,qajg,cuò]
承	[了三氺Ⓘ,bdii,chéng]
友	[𠂇又Ⓤ,dcu,yǒu]
草	[艹早Ⓙ,ajj,cǎo]
夜	[亠亻夂丶,ywty,yè]
微	[彳山一攵,tmgt,wēi_wéi]
优	[亻犬乚Ⓝ,wdnn,yōu_yóu]
画	[一田凵Ⓙ,glbj,huà]
础	[石凵山Ⓗ,dbmh,chǔ]
协	[十力八Ⓨ,flwy,xié]
良	[丶彐𧘇Ⓘ,yvei,liáng]
射	[㇒冂三寸,tmdf,shè_yè_yì]
曲	[冂龷Ⓓ,mad,qū_qǔ]
洋	[氵丷羊Ⓗ,iudh,yáng]
村	[木寸Ⓨ,sfy,cūn]
矿	[石广Ⓣ,dyt,kuàng]
终	[纟夂⺀Ⓨ,xtuy,zhōng]
轮	[车人匕Ⓝ,lwxn,lún]
块	[土ユ人Ⓨ,fnwy,kuài_yué]
环	[王一个Ⓨ,ggiy,huán]
析	[木斤Ⓗ,srh,xī]
径	[彳ス工Ⓖ,tcag,jìng]
哪	[口刀二阝,kvfb,nǎ_něi_na_né]
烈	[一夕刂灬,gqjo,liè]
校	[木六乂Ⓨ,suqy,xiào_jiào]
板	[木斤又Ⓨ,srcy,bǎn]
云	[二厶Ⓤ,fcu,yún]
诉	[讠斤丶Ⓨ,yryy,sù]
既	[彐厶ヰ儿,vcaq,jì]
迅	[⺄十辶Ⓚ,nfpk,xùn]
刻	[亠𠃊丿刂,yntj,kè]
靠	[㇒土口三,tfkd,kào]
察	[宀癶二小,pwfi,chá]
逐	[豕辶Ⓘ,epi,zhú]
央	[冂大Ⓘ,mdi,yāng]
待	[彳土寸Ⓨ,tffy,dài_dāi]
母	[母一⺀Ⓘ,xgui,mǔ]
境	[土立曰儿,fujq,jìng]
激	[氵白方攵,iryt,jī]
渤	[氵十冖力,ifpl,bó]
模	[木艹曰大,sajd,mó_mú]
控	[扌宀八工,rpwa,kòng]
卫	[ㄗ一Ⓓ,bgd,wèi]
久	[ク㇏Ⓘ,qyi,jiǔ]
印	[氏一卩Ⓗ,qgbh,yìn]
房	[丶尸方Ⓥ,ynyv,fáng_páng]
停	[亻亠冖丁,wyps,tíng]
甚	[卄三八㇗,adwn,shèn_shén]
皮	[皮又Ⓘ,hci,pí]
洲	[氵丶丿丨,iyth,zhōu]
搞	[扌亠冂口,rymk,gǎo]
息	[㇒目心Ⓤ,thnu,xī_xí]
移	[禾夕夕Ⓨ,tqqy,yí]
旧	[丨日Ⓖ,hjg,jiù]
拿	[人一口手,wgkr,ná]
若	[艹𠂇口Ⓕ,adkf,ruò_rě]
顶	[丁丆贝Ⓨ,sdmy,dǐng]
短	[𠂉大一丷,tdgu,duǎn]
湖	[氵古月Ⓖ,ideg,hú]
括	[扌㇒古Ⓖ,rtdg,kuò_guā]
挥	[扌冖车Ⓗ,rplh,huī]
侵	[亻彐冖又,wvpc,qīn]
甲	[甲丨㇆丨,lhnh,jiǎ]
游	[氵方𠂉子,iytb,yóu]
语	[讠五口Ⓖ,ygkg,yǔ_yù]
冷	[冫人丶マ,uwyc,lěng]
普	[丷卝一曰,uogj,pǔ]
银	[钅彐𧘇Ⓨ,qvey,yín]
乐	[ㄈ小Ⓘ,qii,lè_yuè_yào_lào]
医	[匚𠂉大Ⓘ,atdi,yī_yì]
烧	[火弋丿儿,oatq,shāo]
刘	[文刂Ⓗ,yjh,liú]
吗	[口马Ⓖ,kcg,má_mǎ_ma]
针	[钅十Ⓗ,qfh,zhēn]
纸	[纟氏弋Ⓝ,xqan,zhǐ]
粉	[米八刀Ⓝ,owvn,fěn]
散	[龷冃攵Ⓨ,aety,sàn_sǎn]
急	[⺈彐心Ⓤ,qvnu,jí]
预	[マ了丆贝,cbdm,yù]
扩	[扌广Ⓣ,ryt,kuò]
愿	[厂白小心,drin,yuàn]
核	[木亠𠃊人,synw,hé_hú]
吧	[口巴Ⓝ,kcn,bā_ba]
龙	[犬匕Ⓥ,dxv,lóng]
误	[讠口一大,ykgd,wù]
欢	[又冖人Ⓨ,cqwy,huān]
孩	[孑亠𠃊人,bynw,hái]
盐	[土卜皿Ⓕ,fhlf,yán]
善	[丷羊丷口,uduk,shàn]
雨	[雨一丨丶,fghy,yǔ_yù]
货	[亻匕贝Ⓤ,wxmu,huò]
讨	[讠寸Ⓨ,yfy,tǎo]
测	[氵贝刂Ⓗ,imjh,cè]
丝	[糹糹一Ⓕ,xxgf,sī]
室	[宀一厶土,pgcf,shì]
混	[氵曰匕匕,ijxx,hùn_hún]
弹	[弓丷曰十,xujf,dàn_tán]
乎	[㇒丷㇚Ⓚ,tuhk,hū]
鲜	[魚㇒丷羊,qgud,xiān_xiǎn]
晚	[日⺈口儿,jqkq,wǎn]
乱	[㇒古乚Ⓝ,tdnn,luàn]
沙	[氵小丿Ⓣ,iitt,shā_shà]
序	[广マ了Ⓚ,ycbk,xù]
缺	[𠂉山ユ人,rmnw,quē]
获	[艹犭㇒犬,aqtd,huò]
读	[讠十乛大,yfnd,dú_dòu]
鲁	[魚一曰Ⓕ,qgjf,lǔ]
载	[十戈车Ⓚ,falk,zǎi_zài]
渐	[氵车斤Ⓗ,ilrh,jiàn_jiān]
父	[八乂Ⓤ,wqu,fù_fǔ]
啊	[口阝丁口,kbsk,ā_á_ǎ_à_a]
演	[氵宀一八,ipgw,yǎn]
刚	[冂ㄨ刂Ⓗ,mqjh,gāng]
守	[宀寸Ⓤ,pfu,shǒu]
宁	[宀丁Ⓙ,psj,níng_nìng_zhù]
杀	[ㄨ木Ⓤ,qsu,shā]
谓	[讠田冃Ⓖ,yleg,wèi]
刑	[一廾刂Ⓗ,gajh,xíng]
附	[阝亻寸Ⓨ,bwfy,fù]
担	[扌日一Ⓖ,rjgg,dān_dàn_dǎn_jiē]
贵	[口丨一贝,khgm,guì]
班	[王丶丿王,gytg,bān]
稳	[禾⺈彐心,tqvn,wěn]
钢	[钅冂ㄨⓎ,qmqy,gāng_gàng]
迫	[白辶Ⓓ,rpd,pò_pǎi]
答	[⺮人一口,twgk,dá_dā]
距	[口止匚コ,khan,jù]
药	[艹纟勹丶,axqy,yào]
假	[亻コ丨又,wnhc,jiǎ_jià]
毫	[亠冖㇒乚,yptn,háo]
兰	[丷二Ⓕ,uff,lán]
喜	[士口丷口,fkuk,xǐ]
练	[纟七𠃌八,xanw,liàn]
乙	[乙乙囗囗,nnll,yǐ_zhé]
酒	[氵西一Ⓖ,isgg,jiǔ]
盾	[斤十目Ⓓ,rfhd,dùn]
困	[囗木Ⓘ,lsi,kùn]
买	[乛⺀大Ⓤ,nudu,mǎi]
福	[礻一田,pygl,fú]
征	[彳一止Ⓖ,tghg,zhēng]
阻	[阝冃一Ⓖ,begg,zǔ]
损	[扌口贝Ⓨ,rkmy,sǔn]
介	[人〢Ⓙ,wjj,jiè]
剂	[文〢刂Ⓗ,yjjh,jì]
穿	[宀八ヰ丿,pwat,chuān]
钟	[钅口丨Ⓗ,qkhh,zhōng]
顺	[川丆贝Ⓨ,kdmy,shùn]
飞	[⺄Ⓘ,nui,fēi]
丰	[三丨Ⓚ,dhk,fēng]
怕	[忄白Ⓖ,nrg,pà]
祖	[礻冃一,pyeg,zǔ]
矛	[マ了丿Ⓡ,cbtr,máo]
执	[扌九丶Ⓨ,rvyy,zhí]
星	[曰㇒𤯓Ⓕ,jtgf,xīng]
谁	[讠亻圭Ⓖ,ywyg,shuí_shéi]
血	[㇒皿Ⓓ,tld,xiě_xuè_xuě]
背	[丬匕冃Ⓕ,uxef,bèi_bēi]
掌	[⺌冖口手,ipkr,zhǎng]
脱	[月丷口儿,eukq,tuō_tuì]
希	[ㄨ𠂇冂丨,qdmh,xī]
评	[讠一丷丨,yguh,píng]
沉	[氵冖几Ⓝ,ipmn,chén_chēn]
概	[木彐厶儿,svcq,gài]
跑	[口止勹巳,khqn,pǎo_páo]
熟	[亠孑九灬,ybvo,shú_shóu]
伤	[亻𠂉力Ⓝ,wtln,shāng]
衣	[亠𧘇Ⓤ,yeu,yī_yì]
械	[木戈廾Ⓗ,saah,xiè]
烟	[火囗大Ⓨ,oldy,yān_yīn]
审	[宀曰丨Ⓙ,pjhj,shěn]
扬	[扌𠄎〃Ⓣ,rnrt,yáng]
翻	[㇒米田羽,toln,fān]
秋	[禾火Ⓨ,toy,qiū]
露	[⻗口止口,fkhk,lòu_lù]
慢	[忄曰罒又,njlc,màn]
静	[龶冃⺈㇚,geqh,jìng]
免	[⺈口儿Ⓑ,qkqb,miǎn]
促	[亻口龰Ⓨ,wkhy,cù]
践	[口止戋Ⓣ,khgt,jiàn]
脚	[月土厶卩,efcb,jiǎo_jué]
妈	[女马Ⓖ,vcg,mā]
补	[衤卜Ⓨ,puhy,bǔ]
薄	[艹氵一寸,aigf,báo_bó_bò]
牛	[𠂉丨Ⓚ,rhk,niú]
句	[勹口Ⓓ,qkd,jù_gōu]
握	[扌尸一土,rngf,wò]
编	[纟丶尸卄,xyna,biān]
庆	[广大Ⓘ,ydi,qìng]
亮	[亠冖几Ⓑ,ypmb,liàng]
笔	[⺮㇒二乚,ttfn,bǐ]
居	[尸古Ⓓ,ndd,jū]
味	[口二小Ⓨ,kfiy,wèi]
映	[日冂大Ⓨ,jmdy,yìng]
斤	[斤㇒丿丨,rtth,jīn]
培	[土立口Ⓖ,fukg,péi]
松	[木八厶Ⓨ,swcy,sōng]
乡	[糹丿Ⓔ,xte,xiāng_yuàn]
诗	[讠土寸Ⓨ,yffy,shī]
异	[巳廾Ⓙ,naj,yì_yí]
孔	[孑乚Ⓝ,bnn,kǒng]
顾	[厂㔾丆贝,dbdm,gù]
呼	[口㇒丷㇚,ktuh,hū]
香	[禾曰Ⓕ,tjf,xiāng]
菜	[艹爫木Ⓤ,aesu,cài]
威	[厂一女丿,dgvt,wēi]
尼	[尸匕Ⓥ,nxv,ní]
抓	[扌斤丨㇏,rrhy,zhuā]
攻	[工攵Ⓨ,aty,gōng]
奇	[大丁口Ⓕ,dskf,qí_jī]
倍	[亻立口Ⓖ,wukg,bèi]
临	[〢𠂉丶吅,jtyj,lín]
掉	[扌⺊早Ⓗ,rhjh,diào]
岁	[山夕Ⓤ,mqu,suì]
脸	[月人一兴,ewgi,liǎn]
剧	[尸古刂Ⓗ,ndjh,jù]
哥	[丁口丁口,sksk,gē]
延	[㇒止廴Ⓓ,thpd,yán]
末	[一木Ⓘ,gsi,mò]
销	[钅⺌冃Ⓖ,qieg,xiāo]
皇	[白王Ⓕ,rgf,huáng]
永	[丶𠃌氺Ⓘ,ynii,yǒng]
汽	[氵𠂉⺄Ⓝ,irnn,qì]
景	[曰亠小Ⓤ,jyiu,jǐng_yǐng]
娘	[女丶彐𧘇,vyve,niáng]
伟	[亻二𠃌丨,wfnh,wěi]
齐	[文〢Ⓙ,yjj,qí_jì_zī_zhāi]
陆	[阝二山Ⓗ,bfmh,lù_liù]
赵	[土龰ㄨⒾ,fhqi,zhào]
雷	[⻗田Ⓕ,flf,léi]
危	[⺈厂㔾Ⓑ,qdbb,wēi]
胡	[古月Ⓖ,deg,hú]
聚	[耳又㇒水,bcti,jù]
硫	[石亠厶,dycq,liú]
束	[一口小Ⓘ,gkii,shù]
轴	[车由Ⓖ,lmg,zhóu_zhòu]
套	[大镸Ⓤ,ddu,tào]
座	[广人人土,ywwf,zuò]
粮	[米丶彐𧘇,oyve,liáng]
灯	[火丁Ⓗ,osh,dēng_dīng]
课	[讠曰木Ⓨ,yjsy,kè]
绍	[纟刀口Ⓖ,xvkg,shào]
杨	[木𠄎〃Ⓣ,snrt,yáng]
怀	[忄一个Ⓨ,ngiy,huái_fù]
饭	[⺈㇙斤又,qnrc,fàn]
赶	[土龰干Ⓚ,fhfk,gǎn_qián]
缩	[纟宀亻日,xpwj,suō_sù]
额	[宀夂口贝,ptkm,é]
孙	[孑小Ⓨ,biy,sūn_xùn]
棉	[木白冂丨,srmh,mián]
鼓	[士口丷又,fkuc,gǔ]
宽	[宀艹冂儿,pamq,kuān]
绿	[纟彐氺Ⓨ,xviy,lǜ_lù]
川	[川丿丨丨,kthh,chuān]
夺	[大寸Ⓤ,dfu,duó]
归	[リ彐Ⓖ,jvg,guī]
灭	[一火Ⓘ,goi,miè]
煤	[火卄二木,oafs,méi]
宗	[宀二小Ⓤ,pfiu,zōng]
衡	[彳魚大㇚,tqdh,héng]
卷	[丷大㔾Ⓑ,udbb,juàn_juǎn]
盟	[日月皿Ⓕ,jelf,méng]
弱	[弓冫弓冫,xuxu,ruò]
竟	[立曰儿Ⓑ,ujqb,jìng]
镇	[钅十具八,qfhw,zhèn]
途	[人禾辶Ⓘ,wtpi,tú]
厚	[厂曰子Ⓓ,djbd,hòu]
触	[⺈用虫Ⓨ,qejy,chù_hóng]
措	[扌龷曰Ⓖ,rajg,cuò]
藏	[艹厂㇗丿,adnt,cáng_zàng]
玉	[王丶Ⓘ,gyi,yù]
哈	[口人一口,kwgk,hā_hǎ_hà]
零	[⻗人丶マ,fwyc,líng]
枪	[木人㔾Ⓝ,swbn,qiāng]
灵	[彐火Ⓤ,vou,líng]
险	[阝人一兴,bwgi,xiǎn]
款	[士二小人,ffiw,kuǎn]
召	[刀口Ⓕ,vkf,zhào_shào]
遍	[丶尸冂辶,ynmp,biàn]
呀	[口ヰ㇚丿,kaht,yā_ya]
敢	[乛耳攵Ⓨ,nbty,gǎn]
恶	[一卝一心,gogn,è_wù_ě_wū]
借	[亻龷曰Ⓖ,wajg,jiè]
歌	[丁口丁人,sksw,gē]
脑	[月文凵Ⓗ,eybh,nǎo]
泽	[氵又二丨,icfh,zé_shì]
染	[氵九木Ⓤ,ivsu,rǎn]
庭	[广㇒士廴,ytfp,tíng]
唱	[口曰曰Ⓖ,kjjg,chàng]
训	[讠川Ⓗ,ykh,xùn]
堂	[⺌冖口土,ipkf,táng]
域	[土戈口㇒,fakg,yù]
植	[木十具Ⓖ,sfhg,zhí]
欧	[匚ㄨ⺈人,aqqw,ōu]
宪	[宀㇒土儿,ptfq,xiàn_hùn_mào_xiòng]
裂	[一夕刂𧘇,gqje,liè_liě]
努	[女又力Ⓑ,vclb,nǔ]
彻	[彳七刀Ⓝ,tavn,chè]
探	[扌冖八木,rpws,tàn]
沿	[氵几口Ⓖ,imkg,yán_yàn]
户	[丶尸Ⓔ,yne,hù]
振	[扌厂二𧘇,rdfe,zhèn]
粒	[米立Ⓖ,oug,lì]
频	[止少丆贝,hidm,pín_bīn]
督	[上小又目,hich,dū]
袁	[土口𧘇Ⓤ,fkeu,yuán]
垂	[㇒一艹士,tgaf,chuí]
纯	[纟一凵乚,xgbn,chún]
纳	[纟冂人Ⓨ,xmwy,nà]
折	[扌斤Ⓗ,rrh,zhē_zhé_shé]
操	[扌口口木,rkks,cāo_cào]
暗	[日立日Ⓖ,jujg,àn]
耐	[丆冂〢寸,dmjf,nài]
份	[亻八刀Ⓝ,wwvn,fèn_bīn]
录	[彐氺Ⓤ,viu,lù]
卖	[十乛⺀大,fnud,mài]
退	[彐𧘇辶Ⓘ,vepi,tuì]
遇	[曰冂丨辶,jmhp,yù]
茶	[艹人木Ⓤ,awsu,chá]
润	[氵门王Ⓖ,iugg,rùn]
肉	[冂人人Ⓘ,mwwi,ròu]
康	[广彐氺Ⓘ,yvii,kāng]
唯	[口亻圭Ⓖ,kwyg,wéi_wěi]
浓	[氵冖𧘇Ⓨ,ipey,nóng]
胞	[月勹巳Ⓝ,eqnn,bāo]
符	[⺮亻寸Ⓤ,twfu,fú]
雪	[⻗彐Ⓕ,fvf,xuě]
磁	[石丷幺幺,duxx,cí]
献	[十冂丷犬,fmud,xiàn]
船	[㇒舟几口,temk,chuán]
忙	[忄亠㇗Ⓝ,nynn,máng]
追	[亻ココ辶,wnnp,zhuī_duī]
伊	[亻彐丿Ⓣ,wvtt,yī]
税	[禾丷口儿,tukq,shuì_tuàn_tuì_tuō]
私	[禾厶Ⓨ,tcy,sī]
篇	[⺮丶尸艹,tyna,piān]
盘	[㇒舟皿Ⓕ,telf,pán]
夏	[丆目夂Ⓤ,dhtu,xià]
卡	[上卜Ⓤ,hhu,kǎ_qiǎ]
盖	[丷王皿Ⓕ,uglf,gài_gě_hé]
丁	[丁一㇚,sgh,dīng_zhēng]
季	[禾子Ⓕ,tbf,jì]
迎	[氏卩辶Ⓚ,qbpk,yíng]
予	[マ了Ⓙ,cbj,yú_yǔ]
架	[力口木Ⓤ,lksu,jià]
阴	[阝月Ⓖ,beg,yīn]
刀	[刀𠃌丿,vnt,dāo]
阵	[阝车Ⓗ,blh,zhèn]
瓦	[一㇙丶㇈,gnyn,wǎ_wà]
野	[曰土マ了,jfcb,yě]
盛	[厂𠃌㇂皿,dnnl,shèng_chéng]
氢	[𠂉⺄ス工,rnca,qīng]
削	[⺌冃刂Ⓗ,iejh,xiāo_xuē]
伸	[亻曰丨Ⓗ,wjhh,shēn]
索	[十冖幺小,fpxi,suǒ]
旗	[方𠂉卄八,ytaw,qí]
忽	[勹〃心Ⓤ,qrnu,hū]
访	[讠方Ⓝ,yyn,fǎng]
累	[田幺小Ⓤ,lxiu,léi_lěi_lèi]
燃	[火夕犬灬,oqdo,rán]
虑	[虍七心Ⓘ,hani,lǜ_bì]
迹	[亠亦辶Ⓘ,yopi,jì]
亦	[亠亦Ⓤ,you,yì]
典	[冂龷八Ⓤ,mawu,diǎn]
晶	[曰日日Ⓕ,jjjf,jīng]
雄	[𠂇厶亻圭,dcwy,xióng]
泛	[氵㇒之Ⓨ,itpy,fàn]
谋	[讠卄二木,yafs,móu]
托	[扌㇒七Ⓝ,rtan,tuō]
透	[禾乃辶Ⓥ,tepv,tòu]
横	[木龷由八,samw,héng_hèng_guāng_guàng_huáng_huàng]
屋	[尸一厶土,ngcf,wū]
朱	[𠂉小Ⓘ,rii,zhū_shú]
惊	[忄亠小Ⓨ,nyiy,jīng_liáng]
奋	[大田Ⓕ,dlf,fèn_běn_gǎng_kǎng]
替	[二人二曰,fwfj,tì]
痛	[疒マ用Ⓚ,ucek,tòng]
裁	[十戈亠𧘇,faye,cái]
抽	[扌由Ⓖ,rmg,chōu]
楚	[木木乛龰,ssnh,chǔ]
避	[尸口辛辶,nkup,bì]
硬	[石一曰乂,dgjq,yìng]
寨	[宀二〢木,pfjs,zhài]
床	[广木Ⓘ,ysi,chuáng]
旁	[六冖方Ⓑ,upyb,páng_bàng]
遗	[口丨一辶,khgp,yí_wèi]
弟	[丷弓丨丿,uxht,dì_tì_tuí]
洗	[氵㇒土儿,itfq,xǐ_xiǎn]
幅	[冂丨一田,mhgl,fú]
毒	[龶母一Ⓤ,gxgu,dú_dài]
顿	[一凵㇙贝,gbnm,dùn_dú]
尚	[⺌冂口Ⓕ,imkf,shàng]
塞	[宀二〢土,pfjf,sāi_sài_sè]
暴	[曰龷八氺,jawi,bào_pù]
谢	[讠㇒冂寸,ytmf,xiè]
宝	[宀王丶Ⓤ,pgyu,bǎo]
圈	[囗丷大㔾,ludb,quān_juàn_juān]
招	[扌刀口Ⓖ,rvkg,zhāo]
彩	[爫木彡Ⓣ,eset,cǎi]
闻	[门耳Ⓓ,ubd,wén]
胶	[月六乂Ⓨ,euqy,jiāo_xiáo]
残	[一夕戋Ⓣ,gqgt,cán]
遭	[一冂龷辶,gmap,zāo]
爷	[八乂ㄗⒿ,wqbj,yé]
斜	[人禾⺀十,wtuf,xié]
警	[艹勹口言,aqky,jǐng]
揭	[扌曰勹㇗,rjqn,jiē_qì]
鱼	[魚一Ⓕ,qgf,yú]
释	[㇒米又丨,toch,shì]
倾	[亻匕丆贝,wxdm,qīng]
潮	[氵十早月,ifje,cháo]
贯	[十贝Ⓤ,xfmu,guàn]
偏	[亻丶尸卄,wyna,piān]
摇	[扌爫𠂉山,rerm,yáo]
监	[〢𠂉丶皿,jtyl,jiān_jiàn]
购	[贝勹厶Ⓨ,mqcy,gòu]
徐	[彳人禾Ⓨ,twty,xú]
付	[亻寸Ⓨ,wfy,fù]
灰	[𠂇火Ⓤ,dou,huī]
园	[囗二儿Ⓥ,lfqv,yuán_wán]
摆	[扌罒土厶,rlfc,bǎi]
殊	[一夕𠂉小,gqri,shū]
蒸	[艹了氺灬,abio,zhēng]
碎	[石亠人十,dywf,suì]
糖	[米广彐口,oyvk,táng]
词	[讠𠃌一口,yngk,cí]
耗	[三小㇒乚,ditn,hào]
赞	[㇒土儿贝,tfqm,zàn]
炮	[火勹巳Ⓝ,oqnn,páo_bāo_pào]
吴	[口一大Ⓤ,kgdu,wú_tūn]
愈	[人一冃心,wgen,yù]
堆	[土亻圭Ⓖ,fwyg,duī]
骨	[骨冃Ⓕ,mef,gǔ_gū]
凯	[山已几Ⓝ,mnmn,kǎi]
午	[𠂉十Ⓙ,tfj,wǔ]
桥	[木㇒大Ⓙ,stdj,qiáo]
巨	[匚コⒹ,and,jù]
救	[十氺丶攵,fiyt,jiù]
荣	[艹冖木Ⓤ,apsu,róng_cè]
纷	[纟八刀Ⓝ,xwvn,fēn]
秦	[三人禾Ⓤ,dwtu,qín]
订	[讠丁Ⓗ,ysh,dìng]
旋	[方𠂉乛龰,ytnh,xuán_xuàn]
割	[宀三丨刂,pdhj,gē]
侧	[亻贝刂Ⓗ,wmjh,cè_zè_zhāi]
纤	[纟㇒十Ⓗ,xtfh,xiān_qiàn]
凡	[几丶Ⓘ,myi,fán]
亡	[亠㇗Ⓥ,ynv,wáng_wú]
杆	[木干Ⓗ,sfh,gān_gǎn]
弦	[弓亠幺Ⓨ,xyxy,xián]
馆	[⺈㇙宀コ,qnpn,guǎn]
恩	[囗大心Ⓤ,ldnu,ēn]
宋	[宀木Ⓤ,psu,sòng]
妇	[女彐Ⓖ,vvg,fù]
吹	[口冖人Ⓨ,kqwy,chuī]
男	[田力Ⓑ,llb,nán]
版	[丿丨一又,thgc,bǎn]
禁	[木木二小,ssfi,jīn_jìn]
繁	[𠂉母一小,txgi,fán_pó]
滑	[氵骨冃Ⓖ,imeg,huá_gǔ]
败	[贝攵Ⓨ,mty,bài]
捕	[扌一冃丶,rgey,bǔ]
择	[扌又二丨,rcfh,zé_zhái]
唐	[广彐丨口,yvhk,táng]
播	[扌㇒米田,rtol,bō]
爸	[八乂巴Ⓑ,wqcb,bà]
泥	[氵尸匕Ⓝ,inxn,ní_nì]
跳	[口止氺儿,khiq,tiào_táo]
君	[彐丿口Ⓓ,vtkd,jūn]
湾	[氵亠亦弓,iyox,wān]
碳	[石山𠂇火,dmdo,tàn]
综	[纟宀二小,xpfi,zōng_zèng]
废	[广𠃊丿丶,ynty,fèi]
庄	[广土Ⓓ,yfd,zhuāng_péng]
吨	[口一凵乚,kgbn,dūn_tún_tǔn]
库	[广车Ⓚ,ylk,kù]
睛	[目龶冃Ⓖ,hgeg,jīng]
楼	[木米女Ⓖ,sovg,lóu]
麻	[广木木Ⓘ,yssi,má]
涉	[氵止少Ⓣ,ihit,shè]
